epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,1013.99,0.84585,1.11937,1.07095,0.58272,0.69369,0.68563,0.52598,0.82689,1.13863,1.08418,0.00045953,0.00045953,0.00045953
20,1067.6,0.81266,1.05315,1.09044,0.71099,0.56161,0.70809,0.52068,0.83359,1.06333,1.09239,0.000445393,0.000445393,0.000445393
21,1128.28,0.78107,1.0175,1.07657,0.78708,0.57603,0.70782,0.51722,0.83387,1.04612,1.09348,0.000431256,0.000431256,0.000431256
22,1184.53,0.76081,1.00294,1.06623,0.84055,0.60726,0.68332,0.52274,0.81579,1.06924,1.08604,0.000417119,0.000417119,0.000417119
23,1233.65,0.73744,1.03217,1.06613,0.84055,0.60726,0.68332,0.52274,0.81579,1.06924,1.08604,0.000402982,0.000402982,0.000402982
24,1289.37,0.7679,0.99618,1.08553,0.87297,0.59274,0.70817,0.53226,0.80924,0.98184,1.0902,0.000388844,0.000388844,0.000388844
25,1345.44,0.78329,1.0102,1.12831,0.90364,0.57493,0.68432,0.52563,0.79652,0.94323,1.08438,0.000374707,0.000374707,0.000374707
26,1396.41,0.76029,0.96082,1.07388,0.85543,0.60468,0.73336,0.5282,0.78857,0.97764,1.07518,0.00036057,0.00036057,0.00036057
27,1445.57,0.79238,0.92806,1.05599,0.83727,0.61653,0.76665,0.54809,0.81943,0.98411,1.08534,0.000346433,0.000346433,0.000346433
28,1502.36,0.76616,0.94656,1.06802,0.86423,0.58232,0.71077,0.53764,0.82502,0.96688,1.09455,0.000332296,0.000332296,0.000332296
29,1554.56,0.72213,0.91269,1.04926,0.66686,0.74809,0.77873,0.58881,0.8182,0.93706,1.08774,0.000318158,0.000318158,0.000318158
30,1602.77,0.72758,0.90147,1.05465,0.66686,0.74809,0.77873,0.58881,0.8182,0.93706,1.08774,0.000304021,0.000304021,0.000304021
31,1654.88,0.67579,0.82695,1.01702,0.86661,0.63137,0.75307,0.5819,0.80755,0.90251,1.08594,0.000289884,0.000289884,0.000289884
32,1705.23,0.71023,0.88714,1.03807,0.73702,0.76016,0.7349,0.57626,0.80565,0.88515,1.0866,0.000275747,0.000275747,0.000275747
33,1753.14,0.7168,0.83099,1.02592,0.74083,0.71799,0.73367,0.57331,0.79555,0.90238,1.07788,0.00026161,0.00026161,0.00026161
34,1802.33,0.69078,0.80311,1.02381,0.78296,0.73603,0.78722,0.60834,0.80085,0.89219,1.08049,0.000247472,0.000247472,0.000247472
35,1853.75,0.69247,0.80368,1.04015,0.87108,0.73057,0.78675,0.6267,0.81426,0.8907,1.08216,0.000233335,0.000233335,0.000233335
36,1906.11,0.69107,0.77982,1.01902,0.87108,0.73057,0.78675,0.6267,0.81426,0.8907,1.08216,0.000219198,0.000219198,0.000219198
37,1960.21,0.66186,0.74178,0.9943,0.79985,0.7697,0.79284,0.63312,0.81859,0.87004,1.08495,0.000205061,0.000205061,0.000205061
38,2016,0.63869,0.69595,0.99101,0.78954,0.78865,0.79317,0.63514,0.79728,0.85392,1.06085,0.000190924,0.000190924,0.000190924
39,2074.29,0.67683,0.75831,1.01218,0.83429,0.76245,0.7993,0.64885,0.77598,0.84656,1.04674,0.000176786,0.000176786,0.000176786
40,2130,0.653,0.73019,1.00588,0.86647,0.71528,0.79953,0.64109,0.77831,0.83365,1.05749,0.000162649,0.000162649,0.000162649
41,2177.04,0.59083,0.68043,0.9635,0.87724,0.71263,0.79992,0.61824,0.77135,0.8204,1.05178,0.000148512,0.000148512,0.000148512
42,2224.09,0.58893,0.67492,0.96282,0.87724,0.71263,0.79992,0.61824,0.77135,0.8204,1.05178,0.000134375,0.000134375,0.000134375
43,2276.39,0.5826,0.63894,0.93418,0.84384,0.71442,0.80484,0.62451,0.77422,0.84897,1.05574,0.000120238,0.000120238,0.000120238
44,2331.17,0.55994,0.65436,0.95016,0.87023,0.65248,0.78863,0.62588,0.75506,0.86544,1.03419,0.0001061,0.0001061,0.0001061
45,2381.28,0.59022,0.65711,0.95316,0.86311,0.65963,0.79038,0.62342,0.75776,0.86954,1.03945,9.19632e-05,9.19632e-05,9.19632e-05
46,2432.41,0.55608,0.63139,0.95707,0.8383,0.70113,0.78691,0.61415,0.75408,0.87074,1.03893,7.7826e-05,7.7826e-05,7.7826e-05
47,2483.21,0.57421,0.62505,0.95255,0.88874,0.6702,0.78037,0.62737,0.75276,0.85648,1.04052,6.36888e-05,6.36888e-05,6.36888e-05
48,2531.18,0.58194,0.63223,0.96037,0.83735,0.69376,0.77818,0.62921,0.74447,0.8515,1.03744,4.95516e-05,4.95516e-05,4.95516e-05
49,2581.42,0.53108,0.60723,0.93764,0.83735,0.69376,0.77818,0.62921,0.74447,0.8515,1.03744,3.54144e-05,3.54144e-05,3.54144e-05
50,2639.03,0.55763,0.57876,0.94083,0.83879,0.72197,0.78098,0.63389,0.74334,0.84846,1.03686,2.12772e-05,2.12772e-05,2.12772e-05
